model,dataset,signal,comparison,method_a,variant_a,method_b,variant_b,auroc_a,auroc_b,delta,ci_lo,ci_hi,p_two_sided,n_paired,same_generations,halluc_rate_a,halluc_rate_b,n_boot,bootstrap_seed
llama31_8b,triviaqa,cross_signal,C1 (whitebox) - C1 (blackbox),C1,,C1,,0.781801,0.843151,-0.061350,-0.091740,-0.032751,0.000000,1000,False,0.243000,0.244000,2000,0
llama31_8b,triviaqa,cross_signal,C2 (whitebox) - C2 (blackbox),C2,,C2,,0.691712,0.709474,-0.017761,-0.071610,0.031308,0.507000,1000,False,0.189000,0.190000,2000,0
llama31_8b,triviaqa,cross_signal,C3 (whitebox) - C3 (blackbox),C3,,C3,,0.820879,0.864022,-0.043143,-0.074054,-0.012935,0.004000,1000,False,0.246000,0.239000,2000,0
llama31_8b,triviaqa,cross_signal,C4:max (whitebox) - C4:max (blackbox),C4,max,C4,max,0.784557,0.677258,0.107298,0.065864,0.150785,0.000000,1000,False,0.265000,0.265000,2000,0
llama31_8b,nqopen,blackbox,C3 - C2,C3,,C2,,0.742304,0.644902,0.097402,0.050394,0.144897,0.000000,1000,False,0.387000,0.305000,2000,0
llama31_8b,nqopen,blackbox,C4:max - C2,C4,max,C2,,0.642215,0.644902,-0.002687,-0.052212,0.043163,0.937000,1000,False,0.439000,0.305000,2000,0
llama31_8b,nqopen,blackbox,C4:max - C3,C4,max,C3,,0.642215,0.742304,-0.100089,-0.144439,-0.056510,0.000000,1000,False,0.439000,0.387000,2000,0
llama31_8b,nqopen,blackbox,C2 - C1,C2,,C1,,0.644902,0.727875,-0.082973,-0.130036,-0.034103,0.002000,1000,False,0.305000,0.333000,2000,0
llama31_8b,nqopen,blackbox,C3 - C1,C3,,C1,,0.742304,0.727875,0.014429,-0.022607,0.052804,0.442000,1000,False,0.387000,0.333000,2000,0
llama31_8b,nqopen,blackbox,C4:max - C4:mean,C4,max,C4,mean,0.642215,0.634049,0.008166,-0.019838,0.035168,0.551000,1000,True,0.439000,0.439000,2000,0
llama31_8b,nqopen,blackbox,C4:mean - C2,C4,mean,C2,,0.634049,0.644902,-0.010852,-0.060760,0.039053,0.683000,1000,False,0.439000,0.305000,2000,0
llama31_8b,nqopen,blackbox,C2 - SemanticEntropy:se_discrete,C2,,SemanticEntropy,se_discrete,0.644902,0.626074,0.018828,0.008351,0.029522,0.000000,1000,True,0.305000,0.305000,2000,0
llama31_8b,nqopen,blackbox,C2 - SelfCheckGPT-NLI,C2,,SelfCheckGPT-NLI,,0.644902,0.675084,-0.030183,-0.068262,0.007919,0.102000,1000,True,0.305000,0.305000,2000,0
llama31_8b,nqopen,blackbox,C3 - SemanticEntropy:se_discrete,C3,,SemanticEntropy,se_discrete,0.742304,0.626074,0.116230,0.067768,0.165610,0.000000,1000,False,0.387000,0.305000,2000,0
llama31_8b,nqopen,blackbox,C3 - SelfCheckGPT-NLI,C3,,SelfCheckGPT-NLI,,0.742304,0.675084,0.067220,0.022612,0.110560,0.001000,1000,False,0.387000,0.305000,2000,0
llama31_8b,nqopen,blackbox,C4:max - SemanticEntropy:se_discrete,C4,max,SemanticEntropy,se_discrete,0.642215,0.626074,0.016141,-0.034204,0.062883,0.489000,1000,False,0.439000,0.305000,2000,0
llama31_8b,nqopen,blackbox,C4:max - SelfCheckGPT-NLI,C4,max,SelfCheckGPT-NLI,,0.642215,0.675084,-0.032870,-0.082216,0.015750,0.183000,1000,False,0.439000,0.305000,2000,0
llama31_8b,nqopen,whitebox,C3 - C2,C3,,C2,,0.742663,0.671985,0.070678,0.028608,0.111841,0.000000,1000,False,0.403000,0.305000,2000,0
llama31_8b,nqopen,whitebox,C4:max - C2,C4,max,C2,,0.707190,0.671985,0.035205,-0.009126,0.081187,0.121000,1000,False,0.439000,0.305000,2000,0
llama31_8b,nqopen,whitebox,C4:max - C3,C4,max,C3,,0.707190,0.742663,-0.035473,-0.074901,0.003640,0.075000,1000,False,0.439000,0.403000,2000,0
llama31_8b,nqopen,whitebox,C2 - C1,C2,,C1,,0.671985,0.739646,-0.067661,-0.111587,-0.026154,0.001000,1000,False,0.305000,0.326000,2000,0
llama31_8b,nqopen,whitebox,C3 - C1,C3,,C1,,0.742663,0.739646,0.003017,-0.038424,0.043229,0.899000,1000,False,0.403000,0.326000,2000,0
llama31_8b,nqopen,whitebox,C4:max - C4:mean,C4,max,C4,mean,0.707190,0.707174,0.000016,-0.016863,0.016794,0.977000,1000,True,0.439000,0.439000,2000,0
llama31_8b,nqopen,whitebox,C4:mean - C2,C4,mean,C2,,0.707174,0.671985,0.035189,-0.009799,0.079707,0.117000,1000,False,0.439000,0.305000,2000,0
llama31_8b,nqopen,whitebox,C4:max - C4:attn_mean,C4,max,C4,attn_mean,0.707190,0.724341,-0.017151,-0.038021,0.003302,0.100000,1000,True,0.439000,0.439000,2000,0
llama31_8b,nqopen,whitebox,C4:attn_mean - C2,C4,attn_mean,C2,,0.724341,0.671985,0.052356,0.007582,0.097107,0.028000,1000,False,0.439000,0.305000,2000,0
llama31_8b,nqopen,whitebox,C2 - SemanticEntropy:se_weighted,C2,,SemanticEntropy,se_weighted,0.671985,0.629027,0.042958,-0.003901,0.088656,0.084000,1000,False,0.305000,0.305000,2000,0
llama31_8b,nqopen,whitebox,C2 - LLM-Check:logit_entropy,C2,,LLM-Check,logit_entropy,0.671985,0.669216,0.002769,-0.038925,0.043640,0.925000,1000,True,0.305000,0.305000,2000,0
llama31_8b,nqopen,whitebox,C3 - SemanticEntropy:se_weighted,C3,,SemanticEntropy,se_weighted,0.742663,0.629027,0.113636,0.066761,0.157169,0.000000,1000,False,0.403000,0.305000,2000,0
llama31_8b,nqopen,whitebox,C3 - LLM-Check:logit_entropy,C3,,LLM-Check,logit_entropy,0.742663,0.669216,0.073447,0.026535,0.119510,0.001000,1000,False,0.403000,0.305000,2000,0
llama31_8b,nqopen,whitebox,C4:max - SemanticEntropy:se_weighted,C4,max,SemanticEntropy,se_weighted,0.707190,0.629027,0.078163,0.029542,0.127247,0.001000,1000,False,0.439000,0.305000,2000,0
llama31_8b,nqopen,whitebox,C4:max - LLM-Check:logit_entropy,C4,max,LLM-Check,logit_entropy,0.707190,0.669216,0.037974,-0.007180,0.083061,0.102000,1000,False,0.439000,0.305000,2000,0
llama31_8b,nqopen,cross_signal,C1 (whitebox) - C1 (blackbox),C1,,C1,,0.739646,0.727875,0.011771,-0.026222,0.047195,0.535000,1000,False,0.326000,0.333000,2000,0
llama31_8b,nqopen,cross_signal,C2 (whitebox) - C2 (blackbox),C2,,C2,,0.671985,0.644902,0.027083,-0.021121,0.074650,0.278000,1000,False,0.305000,0.305000,2000,0
llama31_8b,nqopen,cross_signal,C3 (whitebox) - C3 (blackbox),C3,,C3,,0.742663,0.742304,0.000359,-0.037107,0.036261,0.962000,1000,False,0.403000,0.387000,2000,0
llama31_8b,nqopen,cross_signal,C4:max (whitebox) - C4:max (blackbox),C4,max,C4,max,0.707190,0.642215,0.064975,0.023716,0.108586,0.000000,1000,False,0.439000,0.439000,2000,0
llama31_8b,morehopqa,blackbox,C3 - C2,C3,,C2,,0.681401,0.545577,0.135824,0.083040,0.191978,0.000000,1000,False,0.813000,0.714000,2000,0
llama31_8b,morehopqa,blackbox,C4:max - C2,C4,max,C2,,0.590149,0.545577,0.044572,-0.017202,0.105296,0.167000,1000,False,0.846000,0.714000,2000,0
llama31_8b,morehopqa,blackbox,C4:max - C3,C4,max,C3,,0.590149,0.681401,-0.091251,-0.153171,-0.027321,0.004000,1000,False,0.846000,0.813000,2000,0
llama31_8b,morehopqa,blackbox,C2 - C1,C2,,C1,,0.545577,0.365630,0.179947,0.123792,0.240006,0.000000,1000,False,0.714000,0.820000,2000,0
llama31_8b,morehopqa,blackbox,C3 - C1,C3,,C1,,0.681401,0.365630,0.315770,0.254833,0.378071,0.000000,1000,False,0.813000,0.820000,2000,0
llama31_8b,morehopqa,blackbox,C4:max - C4:mean,C4,max,C4,mean,0.590149,0.712658,-0.122509,-0.164577,-0.081415,0.000000,1000,True,0.846000,0.846000,2000,0
