model,dataset,signal,comparison,method_a,variant_a,method_b,variant_b,auroc_a,auroc_b,delta,ci_lo,ci_hi,p_two_sided,n_paired,same_generations,halluc_rate_a,halluc_rate_b,n_boot,bootstrap_seed
mistral7b_v03,nqopen,blackbox,C3 - SemanticEntropy:se_discrete,C3,,SemanticEntropy,se_discrete,0.762447,0.611453,0.150993,0.106908,0.196056,0.000000,1000,False,0.461000,0.414000,2000,0
mistral7b_v03,nqopen,blackbox,C3 - SelfCheckGPT-NLI,C3,,SelfCheckGPT-NLI,,0.762447,0.728459,0.033988,-0.003585,0.073383,0.083000,1000,False,0.461000,0.414000,2000,0
mistral7b_v03,nqopen,blackbox,C4:max - SemanticEntropy:se_discrete,C4,max,SemanticEntropy,se_discrete,0.685351,0.611453,0.073898,0.027763,0.120830,0.001000,1000,False,0.441000,0.414000,2000,0
mistral7b_v03,nqopen,blackbox,C4:max - SelfCheckGPT-NLI,C4,max,SelfCheckGPT-NLI,,0.685351,0.728459,-0.043108,-0.084907,-0.001810,0.037000,1000,False,0.441000,0.414000,2000,0
mistral7b_v03,nqopen,whitebox,C3 - C2,C3,,C2,,0.683495,0.694526,-0.011030,-0.051248,0.031672,0.620000,1000,False,0.453000,0.412000,2000,0
mistral7b_v03,nqopen,whitebox,C4:max - C2,C4,max,C2,,0.588356,0.694526,-0.106169,-0.155540,-0.055828,0.000000,1000,False,0.441000,0.412000,2000,0
mistral7b_v03,nqopen,whitebox,C4:max - C3,C4,max,C3,,0.588356,0.683495,-0.095139,-0.140995,-0.050237,0.000000,1000,False,0.441000,0.453000,2000,0
mistral7b_v03,nqopen,whitebox,C2 - C1,C2,,C1,,0.694526,0.691248,0.003278,-0.041349,0.044002,0.937000,1000,False,0.412000,0.453000,2000,0
mistral7b_v03,nqopen,whitebox,C3 - C1,C3,,C1,,0.683495,0.691248,-0.007753,-0.048176,0.030846,0.680000,1000,False,0.453000,0.453000,2000,0
mistral7b_v03,nqopen,whitebox,C4:max - C4:mean,C4,max,C4,mean,0.588356,0.582730,0.005626,-0.015710,0.025932,0.601000,1000,True,0.441000,0.441000,2000,0
mistral7b_v03,nqopen,whitebox,C4:mean - C2,C4,mean,C2,,0.582730,0.694526,-0.111796,-0.159834,-0.063445,0.000000,1000,False,0.441000,0.412000,2000,0
mistral7b_v03,nqopen,whitebox,C4:max - C4:attn_mean,C4,max,C4,attn_mean,0.588356,0.583200,0.005156,-0.016969,0.027224,0.647000,1000,True,0.441000,0.441000,2000,0
mistral7b_v03,nqopen,whitebox,C4:attn_mean - C2,C4,attn_mean,C2,,0.583200,0.694526,-0.111325,-0.160025,-0.062771,0.000000,1000,False,0.441000,0.412000,2000,0
mistral7b_v03,nqopen,whitebox,C2 - SemanticEntropy:se_weighted,C2,,SemanticEntropy,se_weighted,0.694526,0.612158,0.082368,0.037799,0.126662,0.001000,1000,False,0.412000,0.414000,2000,0
mistral7b_v03,nqopen,whitebox,C2 - LLM-Check:logit_entropy,C2,,LLM-Check,logit_entropy,0.694526,0.593368,0.101157,0.057508,0.141138,0.000000,1000,True,0.412000,0.412000,2000,0
mistral7b_v03,nqopen,whitebox,C3 - SemanticEntropy:se_weighted,C3,,SemanticEntropy,se_weighted,0.683495,0.612158,0.071337,0.023728,0.118203,0.004000,1000,False,0.453000,0.414000,2000,0
mistral7b_v03,nqopen,whitebox,C3 - LLM-Check:logit_entropy,C3,,LLM-Check,logit_entropy,0.683495,0.593368,0.090127,0.044705,0.133983,0.000000,1000,False,0.453000,0.412000,2000,0
mistral7b_v03,nqopen,whitebox,C4:max - SemanticEntropy:se_weighted,C4,max,SemanticEntropy,se_weighted,0.588356,0.612158,-0.023802,-0.074735,0.028538,0.362000,1000,False,0.441000,0.414000,2000,0
mistral7b_v03,nqopen,whitebox,C4:max - LLM-Check:logit_entropy,C4,max,LLM-Check,logit_entropy,0.588356,0.593368,-0.005012,-0.057513,0.047903,0.843000,1000,False,0.441000,0.412000,2000,0
mistral7b_v03,nqopen,cross_signal,C1 (whitebox) - C1 (blackbox),C1,,C1,,0.691248,0.727568,-0.036320,-0.064335,-0.005958,0.013000,1000,False,0.453000,0.442000,2000,0
mistral7b_v03,nqopen,cross_signal,C2 (whitebox) - C2 (blackbox),C2,,C2,,0.694526,0.671440,0.023086,-0.021067,0.065084,0.284000,1000,False,0.412000,0.414000,2000,0
mistral7b_v03,nqopen,cross_signal,C3 (whitebox) - C3 (blackbox),C3,,C3,,0.683495,0.762447,-0.078951,-0.114671,-0.041904,0.000000,1000,False,0.453000,0.461000,2000,0
mistral7b_v03,nqopen,cross_signal,C4:max (whitebox) - C4:max (blackbox),C4,max,C4,max,0.588356,0.685351,-0.096995,-0.137121,-0.056958,0.000000,1000,False,0.441000,0.441000,2000,0
mistral7b_v03,morehopqa,blackbox,C3 - C2,C3,,C2,,0.680355,0.555106,0.125249,0.074680,0.177614,0.000000,1000,False,0.806000,0.670000,2000,0
mistral7b_v03,morehopqa,blackbox,C4:max - C2,C4,max,C2,,0.579957,0.555106,0.024851,-0.033447,0.084646,0.408000,1000,False,0.827000,0.670000,2000,0
mistral7b_v03,morehopqa,blackbox,C4:max - C3,C4,max,C3,,0.579957,0.680355,-0.100398,-0.158498,-0.040491,0.002000,1000,False,0.827000,0.806000,2000,0
mistral7b_v03,morehopqa,blackbox,C2 - C1,C2,,C1,,0.555106,0.524607,0.030499,-0.027869,0.085977,0.298000,1000,False,0.670000,0.823000,2000,0
mistral7b_v03,morehopqa,blackbox,C3 - C1,C3,,C1,,0.680355,0.524607,0.155748,0.098652,0.208903,0.000000,1000,False,0.806000,0.823000,2000,0
mistral7b_v03,morehopqa,blackbox,C4:max - C4:mean,C4,max,C4,mean,0.579957,0.579314,0.000643,-0.046823,0.046479,0.994000,1000,True,0.827000,0.827000,2000,0
mistral7b_v03,morehopqa,blackbox,C4:mean - C2,C4,mean,C2,,0.579314,0.555106,0.024207,-0.035036,0.089081,0.408000,1000,False,0.827000,0.670000,2000,0
mistral7b_v03,morehopqa,blackbox,C2 - SemanticEntropy:se_discrete,C2,,SemanticEntropy,se_discrete,0.555106,0.545520,0.009586,-0.002560,0.022168,0.128000,1000,True,0.670000,0.670000,2000,0
mistral7b_v03,morehopqa,blackbox,C2 - SelfCheckGPT-NLI,C2,,SelfCheckGPT-NLI,,0.555106,0.610059,-0.054953,-0.087452,-0.020908,0.001000,1000,True,0.670000,0.670000,2000,0
mistral7b_v03,morehopqa,blackbox,C3 - SemanticEntropy:se_discrete,C3,,SemanticEntropy,se_discrete,0.680355,0.545520,0.134835,0.082466,0.188292,0.000000,1000,False,0.806000,0.670000,2000,0
mistral7b_v03,morehopqa,blackbox,C3 - SelfCheckGPT-NLI,C3,,SelfCheckGPT-NLI,,0.680355,0.610059,0.070296,0.020571,0.122753,0.005000,1000,False,0.806000,0.670000,2000,0
mistral7b_v03,morehopqa,blackbox,C4:max - SemanticEntropy:se_discrete,C4,max,SemanticEntropy,se_discrete,0.579957,0.545520,0.034437,-0.022719,0.094361,0.242000,1000,False,0.827000,0.670000,2000,0
mistral7b_v03,morehopqa,blackbox,C4:max - SelfCheckGPT-NLI,C4,max,SelfCheckGPT-NLI,,0.579957,0.610059,-0.030102,-0.088616,0.030250,0.327000,1000,False,0.827000,0.670000,2000,0
mistral7b_v03,morehopqa,whitebox,C3 - C2,C3,,C2,,0.543849,0.511012,0.032837,-0.026202,0.092351,0.302000,1000,False,0.827000,0.655000,2000,0
mistral7b_v03,morehopqa,whitebox,C4:max - C2,C4,max,C2,,0.577951,0.511012,0.066939,0.010961,0.124191,0.015000,1000,False,0.827000,0.655000,2000,0
mistral7b_v03,morehopqa,whitebox,C4:max - C3,C4,max,C3,,0.577951,0.543849,0.034102,-0.026380,0.094640,0.285000,1000,False,0.827000,0.827000,2000,0
mistral7b_v03,morehopqa,whitebox,C2 - C1,C2,,C1,,0.511012,0.483721,0.027292,-0.028668,0.085483,0.349000,1000,False,0.655000,0.815000,2000,0
mistral7b_v03,morehopqa,whitebox,C3 - C1,C3,,C1,,0.543849,0.483721,0.060128,-0.004106,0.124182,0.074000,1000,False,0.827000,0.815000,2000,0
mistral7b_v03,morehopqa,whitebox,C4:max - C4:mean,C4,max,C4,mean,0.577951,0.576483,0.001468,-0.028532,0.032383,0.934000,1000,True,0.827000,0.827000,2000,0
mistral7b_v03,morehopqa,whitebox,C4:mean - C2,C4,mean,C2,,0.576483,0.511012,0.065471,0.010861,0.122407,0.019000,1000,False,0.827000,0.655000,2000,0
mistral7b_v03,morehopqa,whitebox,C4:max - C4:attn_mean,C4,max,C4,attn_mean,0.577951,0.581690,-0.003739,-0.032569,0.024837,0.802000,1000,True,0.827000,0.827000,2000,0
mistral7b_v03,morehopqa,whitebox,C4:attn_mean - C2,C4,attn_mean,C2,,0.581690,0.511012,0.070678,0.016453,0.127999,0.013000,1000,False,0.827000,0.655000,2000,0
mistral7b_v03,morehopqa,whitebox,C2 - SemanticEntropy:se_weighted,C2,,SemanticEntropy,se_weighted,0.511012,0.547899,-0.036887,-0.089719,0.018589,0.188000,1000,False,0.655000,0.670000,2000,0
mistral7b_v03,morehopqa,whitebox,C2 - LLM-Check:logit_entropy,C2,,LLM-Check,logit_entropy,0.511012,0.571298,-0.060285,-0.101183,-0.017334,0.005000,1000,True,0.655000,0.655000,2000,0
mistral7b_v03,morehopqa,whitebox,C3 - SemanticEntropy:se_weighted,C3,,SemanticEntropy,se_weighted,0.543849,0.547899,-0.004050,-0.065189,0.056515,0.903000,1000,False,0.827000,0.670000,2000,0
mistral7b_v03,morehopqa,whitebox,C3 - LLM-Check:logit_entropy,C3,,LLM-Check,logit_entropy,0.543849,0.571298,-0.027449,-0.090119,0.032823,0.384000,1000,False,0.827000,0.655000,2000,0
mistral7b_v03,morehopqa,whitebox,C4:max - SemanticEntropy:se_weighted,C4,max,SemanticEntropy,se_weighted,0.577951,0.547899,0.030052,-0.026387,0.088206,0.297000,1000,False,0.827000,0.670000,2000,0
mistral7b_v03,morehopqa,whitebox,C4:max - LLM-Check:logit_entropy,C4,max,LLM-Check,logit_entropy,0.577951,0.571298,0.006653,-0.048367,0.064920,0.785000,1000,False,0.827000,0.655000,2000,0
mistral7b_v03,morehopqa,cross_signal,C1 (whitebox) - C1 (blackbox),C1,,C1,,0.483721,0.524607,-0.040886,-0.102096,0.025552,0.205000,1000,False,0.815000,0.823000,2000,0
mistral7b_v03,morehopqa,cross_signal,C2 (whitebox) - C2 (blackbox),C2,,C2,,0.511012,0.555106,-0.044094,-0.097905,0.011117,0.119000,1000,False,0.655000,0.670000,2000,0
mistral7b_v03,morehopqa,cross_signal,C3 (whitebox) - C3 (blackbox),C3,,C3,,0.543849,0.680355,-0.136506,-0.200026,-0.069419,0.000000,1000,False,0.827000,0.806000,2000,0
mistral7b_v03,morehopqa,cross_signal,C4:max (whitebox) - C4:max (blackbox),C4,max,C4,max,0.577951,0.579957,-0.002006,-0.053659,0.050340,0.946000,1000,False,0.827000,0.827000,2000,0
