model,dataset,signal,comparison,method_a,variant_a,method_b,variant_b,prr_a,prr_b,delta,ci_lo,ci_hi,p_two_sided,n_paired,same_generations,halluc_rate_a,halluc_rate_b,n_boot,bootstrap_seed
mistral7b_v03,morehopqa,whitebox,C2 - SemanticEntropy:se_weighted,C2,,SemanticEntropy,se_weighted,0.034627,0.082775,-0.048148,-0.148382,0.080481,0.544000,1000,False,0.655000,0.670000,2000,0
mistral7b_v03,morehopqa,whitebox,C2 - LLM-Check:logit_entropy,C2,,LLM-Check,logit_entropy,0.034627,0.116536,-0.081909,-0.169708,0.009305,0.079000,1000,True,0.655000,0.655000,2000,0
mistral7b_v03,morehopqa,whitebox,C3 - SemanticEntropy:se_weighted,C3,,SemanticEntropy,se_weighted,0.059534,0.082775,-0.023242,-0.125382,0.107127,0.817000,1000,False,0.827000,0.670000,2000,0
mistral7b_v03,morehopqa,whitebox,C3 - LLM-Check:logit_entropy,C3,,LLM-Check,logit_entropy,0.059534,0.116536,-0.057003,-0.165622,0.058625,0.337000,1000,False,0.827000,0.655000,2000,0
mistral7b_v03,morehopqa,whitebox,C4:max - SemanticEntropy:se_weighted,C4,max,SemanticEntropy,se_weighted,0.120337,0.082775,0.037561,-0.065051,0.167801,0.380000,1000,False,0.827000,0.670000,2000,0
mistral7b_v03,morehopqa,whitebox,C4:max - LLM-Check:logit_entropy,C4,max,LLM-Check,logit_entropy,0.120337,0.116536,0.003800,-0.100182,0.120458,0.927000,1000,False,0.827000,0.655000,2000,0
mistral7b_v03,morehopqa,cross_signal,C1 (whitebox) - C1 (blackbox),C1,,C1,,-0.017060,0.016152,-0.033212,-0.137942,0.067497,0.503000,1000,False,0.815000,0.823000,2000,0
mistral7b_v03,morehopqa,cross_signal,C2 (whitebox) - C2 (blackbox),C2,,C2,,0.034627,0.101956,-0.067329,-0.181751,0.052846,0.267000,1000,False,0.655000,0.670000,2000,0
mistral7b_v03,morehopqa,cross_signal,C3 (whitebox) - C3 (blackbox),C3,,C3,,0.059534,0.330898,-0.271364,-0.383579,-0.155015,0.000000,1000,False,0.827000,0.806000,2000,0
mistral7b_v03,morehopqa,cross_signal,C4:max (whitebox) - C4:max (blackbox),C4,max,C4,max,0.120337,0.130946,-0.010610,-0.094801,0.073738,0.798000,1000,False,0.827000,0.827000,2000,0
