model,dataset,signal,family,method,variant,auroc,ci_lo,ci_hi,hallucination_rate,n_questions,in_figure,n_boot,bootstrap_seed,source_file
llama31_8b,triviaqa,blackbox,baseline,SemanticEntropy,se_discrete,0.662794,0.618437,0.708083,0.190000,1000,True,2000,0,results/semantic-entropy/se_c2_results.json
llama31_8b,triviaqa,blackbox,kle,C2,,0.709474,0.665217,0.755029,0.190000,1000,True,2000,0,results/black-box/triviaqa/c2_triviaqa_8b_BB_results.json
llama31_8b,triviaqa,blackbox,kle,C3,,0.864022,0.837827,0.889352,0.239000,1000,True,2000,0,results/black-box/triviaqa/c3_triviaqa_8b_BB_results.json
llama31_8b,triviaqa,blackbox,kle,C4,max,0.677258,0.635721,0.716154,0.265000,1000,True,2000,0,results/black-box/triviaqa/c4_triviaqa_8b_BB_results.json
llama31_8b,triviaqa,blackbox,kle,C4,mean,0.629254,0.588098,0.666264,0.265000,1000,True,2000,0,results/black-box/triviaqa/c4_triviaqa_8b_BB_results.json
llama31_8b,triviaqa,whitebox,baseline,LLM-Check,attn,0.445423,0.397809,0.493517,0.189000,1000,False,2000,0,results/llm-check/llmcheck_c2_triviaqa_8b_results.json
llama31_8b,triviaqa,whitebox,baseline,LLM-Check,hidden,0.349647,0.300338,0.399759,0.189000,1000,False,2000,0,results/llm-check/llmcheck_c2_triviaqa_8b_results.json
llama31_8b,triviaqa,whitebox,baseline,LLM-Check,logit_entropy,0.713542,0.666489,0.754611,0.189000,1000,True,2000,0,results/llm-check/llmcheck_c2_triviaqa_8b_results.json
llama31_8b,triviaqa,whitebox,baseline,LLM-Check,ppl,0.674867,0.627025,0.717494,0.189000,1000,False,2000,0,results/llm-check/llmcheck_c2_triviaqa_8b_results.json
llama31_8b,triviaqa,whitebox,baseline,LLM-Check,window_entropy,0.698732,0.654085,0.740259,0.189000,1000,False,2000,0,results/llm-check/llmcheck_c2_triviaqa_8b_results.json
