model,dataset,signal,family,method,variant,metric,value,ci_lo,ci_hi,chance,higher_is_better,hallucination_rate,n_questions,n_boot,bootstrap_seed
llama31_8b,triviaqa,whitebox,kle,C3,,AUARC,0.908247,0.888297,0.926099,0.754000,True,0.246000,1000,2000,0
llama31_8b,triviaqa,whitebox,kle,C4,max,AUPRC,0.610457,0.549352,0.671145,0.265000,True,0.265000,1000,2000,0
llama31_8b,triviaqa,whitebox,kle,C4,max,PRR,0.632734,0.552627,0.704600,0.000000,True,0.265000,1000,2000,0
llama31_8b,triviaqa,whitebox,kle,C4,max,FPR@95TPR,0.708844,0.631493,0.849223,0.950000,False,0.265000,1000,2000,0
llama31_8b,triviaqa,whitebox,kle,C4,max,AUARC,0.878101,0.854033,0.900660,0.735000,True,0.265000,1000,2000,0
llama31_8b,triviaqa,whitebox,kle,C4,mean,AUPRC,0.571596,0.511106,0.635547,0.265000,True,0.265000,1000,2000,0
llama31_8b,triviaqa,whitebox,kle,C4,mean,PRR,0.590777,0.493818,0.678505,0.000000,True,0.265000,1000,2000,0
llama31_8b,triviaqa,whitebox,kle,C4,mean,FPR@95TPR,0.768707,0.678391,0.850608,0.950000,False,0.265000,1000,2000,0
llama31_8b,triviaqa,whitebox,kle,C4,mean,AUARC,0.868612,0.841612,0.895515,0.735000,True,0.265000,1000,2000,0
llama31_8b,triviaqa,whitebox,kle,C4,attn_mean,AUPRC,0.565615,0.504769,0.632274,0.265000,True,0.265000,1000,2000,0
llama31_8b,triviaqa,whitebox,kle,C4,attn_mean,PRR,0.642068,0.569694,0.710060,0.000000,True,0.265000,1000,2000,0
llama31_8b,triviaqa,whitebox,kle,C4,attn_mean,FPR@95TPR,0.704762,0.637948,0.864691,0.950000,False,0.265000,1000,2000,0
llama31_8b,triviaqa,whitebox,kle,C4,attn_mean,AUARC,0.880212,0.857392,0.902859,0.735000,True,0.265000,1000,2000,0
llama31_8b,triviaqa,whitebox,baseline,LLM-Check,logit_entropy,AUPRC,0.400118,0.334383,0.478390,0.189000,True,0.189000,1000,2000,0
llama31_8b,triviaqa,whitebox,baseline,LLM-Check,logit_entropy,PRR,0.473135,0.352408,0.571918,0.000000,True,0.189000,1000,2000,0
llama31_8b,triviaqa,whitebox,baseline,LLM-Check,logit_entropy,FPR@95TPR,0.898890,0.816007,0.951553,0.950000,False,0.189000,1000,2000,0
llama31_8b,triviaqa,whitebox,baseline,LLM-Check,logit_entropy,AUARC,0.891338,0.865191,0.913726,0.811000,True,0.189000,1000,2000,0
llama31_8b,triviaqa,whitebox,baseline,LLM-Check,ppl,AUPRC,0.358193,0.294083,0.432029,0.189000,True,0.189000,1000,2000,0
llama31_8b,triviaqa,whitebox,baseline,LLM-Check,ppl,PRR,0.381076,0.253175,0.487749,0.000000,True,0.189000,1000,2000,0
llama31_8b,triviaqa,whitebox,baseline,LLM-Check,ppl,FPR@95TPR,0.912454,0.859198,0.943212,0.950000,False,0.189000,1000,2000,0
llama31_8b,triviaqa,whitebox,baseline,LLM-Check,ppl,AUARC,0.875707,0.846649,0.901029,0.811000,True,0.189000,1000,2000,0
llama31_8b,triviaqa,whitebox,baseline,LLM-Check,window_entropy,AUPRC,0.377136,0.318660,0.451903,0.189000,True,0.189000,1000,2000,0
llama31_8b,triviaqa,whitebox,baseline,LLM-Check,window_entropy,PRR,0.437067,0.308325,0.546010,0.000000,True,0.189000,1000,2000,0
llama31_8b,triviaqa,whitebox,baseline,LLM-Check,window_entropy,FPR@95TPR,0.886560,0.835012,0.915215,0.950000,False,0.189000,1000,2000,0
llama31_8b,triviaqa,whitebox,baseline,LLM-Check,window_entropy,AUARC,0.885214,0.857345,0.909409,0.811000,True,0.189000,1000,2000,0
llama31_8b,triviaqa,whitebox,baseline,LLM-Check,hidden,AUPRC,0.158578,0.131576,0.201171,0.189000,True,0.189000,1000,2000,0
llama31_8b,triviaqa,whitebox,baseline,LLM-Check,hidden,PRR,-0.657514,-0.820830,-0.487278,0.000000,True,0.189000,1000,2000,0
llama31_8b,triviaqa,whitebox,baseline,LLM-Check,hidden,FPR@95TPR,0.998767,0.991390,1.000000,0.950000,False,0.189000,1000,2000,0
llama31_8b,triviaqa,whitebox,baseline,LLM-Check,hidden,AUARC,0.699354,0.656435,0.742396,0.811000,True,0.189000,1000,2000,0
llama31_8b,triviaqa,whitebox,baseline,LLM-Check,attn,AUPRC,0.177306,0.150216,0.217548,0.189000,True,0.189000,1000,2000,0
